,Date,Open,High,Low,Close,Adj Close,Volume,nasdaq,snp,djia,ftse100,nikkei225,sensex,russell2000,hangseng,sse,oil,gold,vix,usdx,amzn,aapl,msft
0,2012-01-03,16.262545,16.641375,16.248346,16.57313,16.57313,147611217,2648.719971,1374.09,12397.38,5699.91,,17583.97,752.28,18877.410156,,102.96,"1,599.70",22.969999,79.610001,8.9515,14.686786,26.77
1,2012-01-04,16.563665,16.693678,16.453827,16.644611,16.644611,114989399,2648.360107,,12418.42,5668.45,8560.110352,,747.28,18727.310547,2169.389893,103.22,"1,611.90",22.219999,80.089996,8.8755,14.765714,27.4
2,2012-01-05,16.491436,16.537264,16.344486,16.413727,16.413727,131808205,2669.860107,1405.82,12415.7,5624.26,8488.709961,,752.29,18813.410156,2148.451904,101.81,"1,619.40",21.48,80.940002,8.8805,14.929643,27.68
3,2012-01-06,16.417213,16.438385,16.184088,16.189817,16.189817,108119746,2674.219971,1278.04,12359.92,5649.68,8390.349609,15965.16,749.71,18593.060547,2163.39502,101.56,"1,616.10",20.629999,81.239998,9.1305,15.085714,28.110001
4,2012-01-09,16.102144,16.114599,15.472754,15.503389,15.503389,233776981,2676.560059,,12392.69,5612.26,,,753.51,18865.720703,2225.889893,101.31,"1,607.50",21.07,81.050003,8.928,15.061786,27.74
5,2012-01-10,15.684959,15.785831,15.365158,15.520326,15.520326,176483032,2702.5,1444.49,12462.47,5696.7,8422.259766,18823.91,764.75,19004.279297,2285.743896,102.24,"1,631.00",20.690001,80.800003,8.967,15.115714,27.84
6,2012-01-11,15.529292,15.675993,15.470015,15.590563,15.590563,96359832,2710.76001,1427.59,12449.45,5670.82,8447.879883,18561.7,767.24,19151.939453,2276.045898,100.87,"1,639.20",21.049999,81.349998,8.945,15.091071,27.719999
7,2012-01-12,15.721572,15.763166,15.604012,15.682219,15.682219,75289148,2724.699951,,12471.02,5662.42,8385.589844,,770.49,19095.380859,2275.01001,99.1,"1,647.30",20.469999,80.769997,8.7965,15.049643,28.0
8,2012-01-13,15.598035,15.61522,15.46852,15.566403,15.566403,92637933,2710.669922,1289.09,12422.06,5636.64,8500.019531,16154.62,764.2,19204.419922,2244.580078,98.7,"1,630.40",20.91,81.43,8.921,14.993214,28.25
9,2012-01-17,15.740501,15.740501,15.583589,15.655818,15.655818,76658261,2728.080078,1293.67,12482.07,5693.95,8466.400391,16466.05,765.53,19627.75,2298.375,100.71,"1,655.20",22.200001,81.18,9.083,15.167857,28.26
10,2012-01-18,15.60725,15.790812,15.494921,15.763664,15.763664,110882061,2769.709961,1308.04,12578.95,5702.37,8550.580078,16451.47,779.26,19686.919922,2266.384033,100.59,"1,659.50",20.889999,80.599998,9.472,15.325357,28.23
11,2012-01-19,15.96491,15.96491,15.727549,15.929542,15.929542,253157352,2788.330078,1314.5,12623.98,5741.15,8639.679688,16643.74,782.37,19942.949219,2296.074951,100.39,"1,654.10",19.870001,80.209999,9.7225,15.276786,28.120001
12,2012-01-20,14.70812,14.719826,14.488195,14.595044,14.595044,424637703,2786.699951,1315.38,12720.48,5728.55,8766.360352,16739.01,784.62,20110.369141,2319.11792,98.46,"1,663.70",18.280001,80.220001,9.5465,15.010714,29.709999
13,2012-01-23,14.595293,14.661545,14.524558,14.583338,14.583338,137027695,2784.169922,1316.0,12708.82,5782.56,8765.900391,16751.73,783.05,,,99.58,"1,678.00",18.67,79.690002,9.3045,15.264643,29.73
14,2012-01-24,14.603263,14.637136,14.39604,14.469017,14.469017,122690156,2786.639893,1314.65,12675.75,5751.9,8785.330078,16995.77,788.27,,,98.95,"1,664.20",18.91,79.860001,9.35,15.014643,29.34
15,2012-01-25,14.383836,14.413724,14.106625,14.184085,14.184085,200255805,2818.310059,1326.05,12756.96,5723.0,8883.69043,17077.18,795.64,,,99.4,"1,699.80",18.309999,79.57,9.39,15.952143,29.559999
16,2012-01-26,14.246102,14.308369,14.061046,14.149464,14.149464,129531704,2805.280029,1318.43,12734.63,5795.2,8849.469727,,792.91,20439.140625,,99.7,"1,726.30",18.57,79.410004,9.666,15.879643,29.5
