Date,Open,High,Low,Close,Adj Close,Volume
03-01-2012,"1,568.90","1,604.30","1,566.00","1,599.70","1,599.70",229
04-01-2012,"1,596.60","1,618.60","1,594.50","1,611.90","1,611.90",172
05-01-2012,"1,610.80","1,624.10","1,597.80","1,619.40","1,619.40",362
06-01-2012,"1,622.50","1,627.80","1,616.10","1,616.10","1,616.10",20
09-01-2012,"1,614.30","1,620.10","1,607.50","1,607.50","1,607.50",8
10-01-2012,"1,619.90","1,638.00","1,619.90","1,631.00","1,631.00",47
11-01-2012,"1,634.80","1,645.40","1,633.80","1,639.20","1,639.20",65
12-01-2012,"1,645.20","1,656.10","1,645.20","1,647.30","1,647.30",84
13-01-2012,"1,638.90","1,643.40","1,630.40","1,630.40","1,630.40",368
17-01-2012,"1,643.70","1,657.80","1,642.10","1,655.20","1,655.20",16
18-01-2012,"1,654.00","1,660.30","1,654.00","1,659.50","1,659.50",11
19-01-2012,"1,663.00","1,664.40","1,653.50","1,654.10","1,654.10",58
20-01-2012,"1,652.80","1,664.30","1,652.80","1,663.70","1,663.70",8
23-01-2012,"1,676.90","1,680.00","1,669.90","1,678.00","1,678.00",10
24-01-2012,"1,666.90","1,668.20","1,664.20","1,664.20","1,664.20",5
25-01-2012,"1,673.00","1,706.20","1,672.00","1,699.80","1,699.80",239
26-01-2012,"1,729.00","1,729.00","1,721.00","1,726.30","1,726.30",16
27-01-2012,"1,727.00","1,734.10","1,727.00","1,731.80","1,731.80","1,75,023"
30-01-2012,"1,737.20","1,739.90","1,715.70","1,731.00","1,731.00","53,427"
31-01-2012,"1,731.70","1,747.70","1,725.00","1,737.80","1,737.80","7,540"
01-02-2012,"1,738.20","1,751.10","1,734.00","1,747.10","1,747.10","2,027"
02-02-2012,"1,745.10","1,761.10","1,742.90","1,756.80","1,756.80","2,062"
03-02-2012,"1,758.70","1,761.30","1,724.50","1,737.90","1,737.90",543
06-02-2012,"1,728.00","1,738.30","1,713.30","1,722.80","1,722.80",726
07-02-2012,"1,722.00","1,748.00","1,713.20","1,746.40","1,746.40",272
08-02-2012,"1,744.00","1,751.50","1,728.20","1,729.30","1,729.30",955
09-02-2012,"1,731.40","1,749.70","1,726.10","1,739.00","1,739.00",119
10-02-2012,"1,732.70","1,734.40","1,706.40","1,723.30","1,723.30",248
13-02-2012,"1,725.00","1,733.00","1,718.40","1,723.00","1,723.00",104
14-02-2012,"1,720.00","1,724.90","1,715.00","1,715.90","1,715.90",94
15-02-2012,"1,723.60","1,737.00","1,723.60","1,726.30","1,726.30",110
16-02-2012,"1,718.40","1,728.40","1,707.00","1,726.80","1,726.80",38
17-02-2012,"1,733.60","1,735.10","1,718.80","1,724.50","1,724.50",80
21-02-2012,"1,736.10","1,760.00","1,733.60","1,757.10","1,757.10",115
22-02-2012,"1,758.70","1,781.90","1,750.00","1,770.00","1,770.00",161
23-02-2012,"1,774.00","1,786.00","1,773.00","1,784.90","1,784.90",298
24-02-2012,"1,778.50","1,780.70","1,771.30","1,775.10","1,775.10",129
27-02-2012,"1,773.60","1,775.60","1,768.10","1,773.60","1,773.60",841
28-02-2012,"1,767.90","1,789.40","1,767.90","1,787.00","1,787.00",306
29-02-2012,"1,789.90","1,790.40","1,669.00","1,709.90","1,709.90",359
01-03-2012,"1,698.60","1,724.60","1,698.60","1,721.10","1,721.10",214
02-03-2012,"1,723.00","1,723.00","1,705.20","1,708.80","1,708.80",135
05-03-2012,"1,705.50","1,709.50","1,695.40","1,703.00","1,703.00",421
06-03-2012,"1,708.70","1,708.70","1,666.00","1,671.40","1,671.40",176
07-03-2012,"1,676.00","1,684.00","1,673.10","1,683.30","1,683.30",39
08-03-2012,"1,686.40","1,702.40","1,686.40","1,698.10","1,698.10",301
09-03-2012,"1,698.80","1,710.90","1,680.70","1,710.90","1,710.90",73
12-03-2012,"1,708.10","1,708.10","1,694.90","1,699.20","1,699.20",98
13-03-2012,"1,698.40","1,698.40","1,685.10","1,693.70","1,693.70",47
14-03-2012,"1,676.90","1,681.00","1,637.40","1,642.50","1,642.50",201
15-03-2012,"1,646.30","1,660.20","1,640.00","1,659.10","1,659.10",405
16-03-2012,"1,660.00","1,661.40","1,641.30","1,655.50","1,655.50",317
19-03-2012,"1,661.20","1,668.00","1,652.10","1,666.90","1,666.90",462
20-03-2012,"1,648.10","1,652.30","1,642.00","1,646.70","1,646.70",250
21-03-2012,"1,657.80","1,660.00","1,646.10","1,650.00","1,650.00",546
22-03-2012,"1,648.00","1,649.40","1,633.80","1,642.30","1,642.30",321
23-03-2012,"1,652.50","1,665.10","1,646.30","1,662.30","1,662.30",76
26-03-2012,"1,665.00","1,692.90","1,657.80","1,685.50","1,685.50",84
27-03-2012,"1,687.80","1,690.80","1,684.40","1,684.80","1,684.80",100
28-03-2012,"1,670.10","1,670.10","1,657.90","1,657.90","1,657.90","1,93,107"
29-03-2012,"1,661.80","1,664.50","1,644.30","1,652.20","1,652.20","47,342"
30-03-2012,"1,660.60","1,670.00","1,659.00","1,669.30","1,669.30","9,825"
02-04-2012,"1,670.40","1,682.80","1,662.00","1,677.50","1,677.50","2,531"
03-04-2012,"1,677.60","1,679.50","1,638.70","1,670.00","1,670.00","1,165"
04-04-2012,"1,646.50","1,647.00","1,612.30","1,612.30","1,612.30","1,122"
05-04-2012,"1,620.80","1,633.20","1,620.40","1,628.50","1,628.50",289
09-04-2012,"1,645.30","1,646.40","1,636.50","1,642.50","1,642.50",158
10-04-2012,"1,649.00","1,661.70","1,636.20","1,659.50","1,659.50",350
11-04-2012,"1,654.80","1,659.70","1,654.70","1,659.00","1,659.00",426
12-04-2012,"1,660.00","1,680.10","1,650.00","1,679.50","1,679.50","1,309"
13-04-2012,"1,673.30","1,674.80","1,650.00","1,659.10","1,659.10",220
16-04-2012,"1,650.80","1,656.80","1,641.20","1,648.70","1,648.70",717
17-04-2012,"1,652.00","1,652.90","1,637.00","1,650.30","1,650.30",69
18-04-2012,"1,653.20","1,653.30","1,638.10","1,638.80","1,638.80",273
19-04-2012,"1,642.10","1,653.10","1,632.00","1,640.60","1,640.60",77
20-04-2012,"1,641.70","1,645.60","1,640.90","1,642.10","1,642.10",54
23-04-2012,"1,642.40","1,642.40","1,625.10","1,631.90","1,631.90",226
24-04-2012,"1,634.40","1,648.60","1,634.40","1,643.00","1,643.00",123
25-04-2012,"1,641.30","1,643.80","1,626.90","1,641.40","1,641.40",82
26-04-2012,"1,658.30","1,659.60","1,658.30","1,659.60","1,659.60",280
27-04-2012,"1,654.50","1,666.90","1,654.00","1,664.00","1,664.00",236
30-04-2012,"1,663.00","1,665.70","1,653.00","1,663.40","1,663.40",36
01-05-2012,"1,665.00","1,670.50","1,661.70","1,661.70","1,661.70",25
02-05-2012,"1,659.20","1,659.20","1,648.30","1,653.40","1,653.40",50
03-05-2012,"1,651.20","1,652.20","1,631.30","1,634.20","1,634.20",78
04-05-2012,"1,635.70","1,645.60","1,629.40","1,644.70","1,644.70",68
07-05-2012,"1,637.90","1,640.00","1,632.60","1,638.60","1,638.60",21
08-05-2012,"1,636.70","1,636.70","1,596.00","1,604.00","1,604.00",154
09-05-2012,"1,595.30","1,595.30","1,586.30","1,593.70","1,593.70",30
10-05-2012,"1,594.20","1,595.10","1,592.40","1,595.10","1,595.10",6
11-05-2012,"1,586.10","1,589.60","1,583.60","1,583.60","1,583.60",6
14-05-2012,"1,563.00","1,563.10","1,555.50","1,560.60","1,560.60",5
15-05-2012,"1,555.40","1,558.30","1,542.40","1,556.80","1,556.80",28
16-05-2012,"1,541.40","1,541.40","1,528.50","1,536.20","1,536.20",26
17-05-2012,"1,546.90","1,579.00","1,546.90","1,574.50","1,574.50",51
18-05-2012,"1,573.70","1,591.60","1,568.20","1,591.60","1,591.60",26
21-05-2012,"1,591.90","1,594.10","1,588.40","1,588.40","1,588.40",32
22-05-2012,"1,575.70","1,578.10","1,568.40","1,576.30","1,576.30",27
23-05-2012,"1,538.20","1,548.10","1,534.40","1,548.10","1,548.10",6
24-05-2012,"1,559.00","1,569.40","1,551.50","1,557.30","1,557.30",23
25-05-2012,"1,558.20","1,568.80","1,557.30","1,568.80","1,568.80",7
29-05-2012,"1,574.70","1,582.50","1,548.60","1,548.60","1,548.60","2,59,050"
30-05-2012,"1,553.90","1,569.00","1,530.40","1,563.40","1,563.40","79,887"
