Date, Open, High, Low, Close
12/30/22, 1759.26, 1763.93, 1747.23, 1761.25
12/29/22, 1727.33, 1767.91, 1727.33, 1766.25
12/28/22, 1749.93, 1753.93, 1722.02, 1722.02
12/27/22, 1761.38, 1761.65, 1745.44, 1749.52
12/23/22, 1753.20, 1761.24, 1743.74, 1760.93
12/22/22, 1766.67, 1766.67, 1726.82, 1754.09
12/21/22, 1757.69, 1784.11, 1757.69, 1776.94
12/20/22, 1735.47, 1755.08, 1733.21, 1748.02
12/19/22, 1763.94, 1765.54, 1733.82, 1738.58
12/16/22, 1759.55, 1765.64, 1746.25, 1763.42
12/15/22, 1806.74, 1806.74, 1770.56, 1774.61
12/14/22, 1831.23, 1845.77, 1812.30, 1820.45
12/13/22, 1851.83, 1880.76, 1823.00, 1832.36
12/12/22, 1798.79, 1820.50, 1793.11, 1818.61
12/09/22, 1812.15, 1815.81, 1796.66, 1796.66
12/08/22, 1815.71, 1833.75, 1808.85, 1818.29
12/07/22, 1809.17, 1822.70, 1805.66, 1806.90
12/06/22, 1839.54, 1839.54, 1802.95, 1812.58
12/05/22, 1886.01, 1886.01, 1834.42, 1840.22
12/02/22, 1863.94, 1898.45, 1856.48, 1892.84
12/01/22, 1891.98, 1898.27, 1876.93, 1881.68
11/30/22, 1839.13, 1886.58, 1821.46, 1886.58
11/29/22, 1832.52, 1846.07, 1832.52, 1836.55
11/28/22, 1857.18, 1857.53, 1827.08, 1830.96
11/25/22, 1862.92, 1873.59, 1861.00, 1869.19
11/23/22, 1857.59, 1868.92, 1851.68, 1863.52
11/22/22, 1843.87, 1861.08, 1840.05, 1860.44
11/21/22, 1842.96, 1842.96, 1828.99, 1839.14
11/18/22, 1861.73, 1869.34, 1840.88, 1849.73
11/17/22, 1837.27, 1839.84, 1820.71, 1839.12
11/16/22, 1879.74, 1879.74, 1850.72, 1853.16
11/15/22, 1885.97, 1905.84, 1878.08, 1889.20
11/14/22, 1875.65, 1889.41, 1861.25, 1861.25
11/11/22, 1872.92, 1899.96, 1872.92, 1882.74
11/10/22, 1811.28, 1868.28, 1811.28, 1867.93
11/09/22, 1796.36, 1796.85, 1757.45, 1760.40
11/08/22, 1815.52, 1831.20, 1790.88, 1808.93
11/07/22, 1808.08, 1814.76, 1793.99, 1809.81
11/04/22, 1800.81, 1809.64, 1771.11, 1799.87
11/03/22, 1768.46, 1791.81, 1758.05, 1779.73
11/02/22, 1845.08, 1861.57, 1789.13, 1789.14
11/01/22, 1864.95, 1868.74, 1845.93, 1851.39
10/31/22, 1839.17, 1854.57, 1833.59, 1846.86
10/28/22, 1811.62, 1848.25, 1804.82, 1846.92
10/27/22, 1815.52, 1832.09, 1804.70, 1806.32
10/26/22, 1801.99, 1836.06, 1801.29, 1804.33
10/25/22, 1749.62, 1801.20, 1749.62, 1796.15
10/24/22, 1747.68, 1751.44, 1727.20, 1748.40
10/21/22, 1709.61, 1744.90, 1700.63, 1742.24
10/20/22, 1726.55, 1746.29, 1699.97, 1704.39
10/19/22, 1746.97, 1746.97, 1710.21, 1725.76
10/18/22, 1756.36, 1782.07, 1744.00, 1755.96
10/17/22, 1701.16, 1738.70, 1701.16, 1735.75
10/14/22, 1741.32, 1747.84, 1681.50, 1682.40
10/13/22, 1653.95, 1734.27, 1641.94, 1728.41
10/12/22, 1692.95, 1696.79, 1671.88, 1687.76
10/11/22, 1687.60, 1713.74, 1664.91, 1692.92
10/10/22, 1706.16, 1706.83, 1681.98, 1691.92
10/07/22, 1734.65, 1734.92, 1694.96, 1702.15
10/06/22, 1756.42, 1772.26, 1747.03, 1752.51
10/05/22, 1748.79, 1767.82, 1732.09, 1762.69
10/04/22, 1735.82, 1775.77, 1735.82, 1775.77
10/03/22, 1687.28, 1717.30, 1671.62, 1708.87
09/30/22, 1672.89, 1707.75, 1664.27, 1664.72
09/29/22, 1710.82, 1710.82, 1656.41, 1674.93
09/28/22, 1668.79, 1725.28, 1668.79, 1715.24
09/27/22, 1669.17, 1689.53, 1650.71, 1662.51
09/26/22, 1674.34, 1701.23, 1653.43, 1655.88
09/23/22, 1707.61, 1707.61, 1658.66, 1679.59
09/22/22, 1760.15, 1760.31, 1716.21, 1722.31
09/21/22, 1796.20, 1813.66, 1761.97, 1762.16
09/20/22, 1801.49, 1801.49, 1776.31, 1787.50
09/19/22, 1785.72, 1813.94, 1777.27, 1812.84
09/16/22, 1813.86, 1813.86, 1778.77, 1798.19
09/15/22, 1830.97, 1853.03, 1818.41, 1825.23
09/14/22, 1832.69, 1840.59, 1817.52, 1838.46
09/13/22, 1879.54, 1879.54, 1825.42, 1831.58
09/12/22, 1889.80, 1906.09, 1889.80, 1906.09
09/09/22, 1857.14, 1884.89, 1857.14, 1882.85
09/08/22, 1823.49, 1846.91, 1810.51, 1846.91
09/07/22, 1789.56, 1832.57, 1787.43, 1832.00
09/06/22, 1813.18, 1815.15, 1786.68, 1792.32
09/02/22, 1844.17, 1846.98, 1802.14, 1809.75
09/01/22, 1826.75, 1826.75, 1799.17, 1822.82
08/31/22, 1859.18, 1865.28, 1843.08, 1844.12
08/30/22, 1889.16, 1889.35, 1847.54, 1855.59
08/29/22, 1880.63, 1898.67, 1879.13, 1882.94
08/26/22, 1965.23, 1965.31, 1898.51, 1899.83
08/25/22, 1944.38, 1964.64, 1943.20, 1964.64
08/24/22, 1918.65, 1941.14, 1916.58, 1935.29
08/23/22, 1920.13, 1937.97, 1917.32, 1919.14
08/22/22, 1931.71, 1933.69, 1911.69, 1915.74
08/19/22, 1992.30, 1992.30, 1952.49, 1957.35
08/18/22, 1987.82, 2003.01, 1982.59, 2000.73
